▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 879ms
✓ Running next.config.mjs took 67ms

 GET /@vite/client 404 in 69ms (next.js: 12ms, application-code: 57ms)
 GET / 200 in 85ms (next.js: 8ms, application-code: 77ms)
 GET /@vite/client 404 in 73ms (next.js: 11ms, application-code: 61ms)
 GET / 200 in 110ms (next.js: 7ms, application-code: 103ms)
 GET /@vite/client 404 in 65ms (next.js: 11ms, application-code: 54ms)
 GET / 200 in 45ms (next.js: 5ms, application-code: 40ms)
 GET /@vite/client 404 in 76ms (next.js: 12ms, application-code: 64ms)
 GET / 200 in 82ms (next.js: 10ms, application-code: 72ms)
 GET /@vite/client 404 in 63ms (next.js: 12ms, application-code: 51ms)
 GET / 200 in 84ms (next.js: 13ms, application-code: 71ms)
 GET /@vite/client 404 in 61ms (next.js: 11ms, application-code: 50ms)
 GET / 200 in 102ms (next.js: 12ms, application-code: 90ms)
 GET /@vite/client 404 in 75ms (next.js: 11ms, application-code: 64ms)
 GET / 200 in 66ms (next.js: 6ms, application-code: 60ms)
 GET /@vite/client 404 in 56ms (next.js: 11ms, application-code: 44ms)
 GET / 200 in 110ms (next.js: 14ms, application-code: 96ms)
 GET /@vite/client 404 in 69ms (next.js: 12ms, application-code: 58ms)
 GET / 200 in 86ms (next.js: 9ms, application-code: 77ms)
 GET /@vite/client 404 in 87ms (next.js: 13ms, application-code: 74ms)
 GET / 200 in 75ms (next.js: 8ms, application-code: 66ms)
 GET /@vite/client 404 in 63ms (next.js: 12ms, application-code: 51ms)
 GET / 200 in 68ms (next.js: 12ms, application-code: 56ms)
 GET /@vite/client 404 in 62ms (next.js: 16ms, application-code: 46ms)
 GET / 200 in 79ms (next.js: 7ms, application-code: 72ms)
 GET /@vite/client 404 in 158ms (next.js: 24ms, application-code: 134ms)
 GET / 200 in 74ms (next.js: 10ms, application-code: 64ms)
 GET /@vite/client 404 in 61ms (next.js: 12ms, application-code: 49ms)
 GET / 200 in 75ms (next.js: 7ms, application-code: 68ms)
 GET /@vite/client 404 in 51ms (next.js: 10ms, application-code: 41ms)
 GET / 200 in 85ms (next.js: 13ms, application-code: 72ms)
 GET /@vite/client 404 in 69ms (next.js: 11ms, application-code: 58ms)
 GET / 200 in 76ms (next.js: 11ms, application-code: 65ms)
 GET /@vite/client 404 in 81ms (next.js: 10ms, application-code: 71ms)
 GET / 200 in 98ms (next.js: 12ms, application-code: 86ms)
 GET /@vite/client 404 in 57ms (next.js: 12ms, application-code: 44ms)
 GET / 200 in 63ms (next.js: 7ms, application-code: 56ms)
 GET /@vite/client 404 in 64ms (next.js: 12ms, application-code: 52ms)
 GET / 200 in 77ms (next.js: 13ms, application-code: 64ms)
 GET /@vite/client 404 in 60ms (next.js: 12ms, application-code: 47ms)
 GET / 200 in 77ms (next.js: 8ms, application-code: 68ms)
 GET /@vite/client 404 in 54ms (next.js: 9ms, application-code: 45ms)
 GET / 200 in 80ms (next.js: 7ms, application-code: 74ms)
 GET /@vite/client 404 in 67ms (next.js: 10ms, application-code: 57ms)
 GET / 200 in 75ms (next.js: 7ms, application-code: 67ms)
 GET /@vite/client 404 in 74ms (next.js: 11ms, application-code: 63ms)
 GET / 200 in 75ms (next.js: 11ms, application-code: 63ms)
 GET /@vite/client 404 in 58ms (next.js: 9ms, application-code: 49ms)
 GET / 200 in 81ms (next.js: 5ms, application-code: 76ms)
 GET /@vite/client 404 in 86ms (next.js: 17ms, application-code: 69ms)
 GET / 200 in 83ms (next.js: 16ms, application-code: 67ms)
 GET /@vite/client 404 in 65ms (next.js: 18ms, application-code: 48ms)
 GET / 200 in 81ms (next.js: 30ms, application-code: 52ms)
 GET /@vite/client 404 in 67ms (next.js: 10ms, application-code: 57ms)
 GET / 200 in 125ms (next.js: 13ms, application-code: 112ms)
 GET /@vite/client 404 in 59ms (next.js: 11ms, application-code: 47ms)
 GET / 200 in 81ms (next.js: 9ms, application-code: 72ms)
 GET /@vite/client 404 in 62ms (next.js: 12ms, application-code: 49ms)
 GET / 200 in 81ms (next.js: 12ms, application-code: 69ms)
 GET /@vite/client 404 in 70ms (next.js: 13ms, application-code: 57ms)
 GET / 200 in 97ms (next.js: 14ms, application-code: 84ms)
 GET /@vite/client 404 in 84ms (next.js: 10ms, application-code: 74ms)
 GET / 200 in 96ms (next.js: 19ms, application-code: 77ms)
 GET /@vite/client 404 in 57ms (next.js: 10ms, application-code: 47ms)
 GET / 200 in 78ms (next.js: 9ms, application-code: 69ms)
 GET /@vite/client 404 in 54ms (next.js: 9ms, application-code: 45ms)
 GET / 200 in 65ms (next.js: 8ms, application-code: 57ms)
 GET /@vite/client 404 in 57ms (next.js: 12ms, application-code: 45ms)
 GET / 200 in 70ms (next.js: 7ms, application-code: 62ms)
 GET /@vite/client 404 in 56ms (next.js: 8ms, application-code: 47ms)
 GET / 200 in 70ms (next.js: 8ms, application-code: 62ms)
 GET /@vite/client 404 in 64ms (next.js: 13ms, application-code: 50ms)
 GET / 200 in 70ms (next.js: 8ms, application-code: 62ms)
 GET /@vite/client 404 in 52ms (next.js: 9ms, application-code: 43ms)
 GET / 200 in 66ms (next.js: 7ms, application-code: 59ms)
 GET /@vite/client 404 in 62ms (next.js: 14ms, application-code: 48ms)
 GET / 200 in 73ms (next.js: 11ms, application-code: 61ms)
 GET /@vite/client 404 in 57ms (next.js: 10ms, application-code: 47ms)
 GET / 200 in 85ms (next.js: 7ms, application-code: 77ms)
 GET /@vite/client 404 in 61ms (next.js: 11ms, application-code: 49ms)
 GET / 200 in 72ms (next.js: 8ms, application-code: 64ms)
 GET /@vite/client 404 in 63ms (next.js: 11ms, application-code: 52ms)
 GET / 200 in 92ms (next.js: 10ms, application-code: 82ms)
 GET /@vite/client 404 in 60ms (next.js: 13ms, application-code: 47ms)
 GET / 200 in 90ms (next.js: 9ms, application-code: 82ms)
 GET /@vite/client 404 in 62ms (next.js: 9ms, application-code: 52ms)
 GET / 200 in 101ms (next.js: 16ms, application-code: 85ms)
 GET /@vite/client 404 in 57ms (next.js: 12ms, application-code: 45ms)
 GET / 200 in 72ms (next.js: 8ms, application-code: 64ms)
 GET /@vite/client 404 in 57ms (next.js: 8ms, application-code: 49ms)
 GET / 200 in 85ms (next.js: 11ms, application-code: 74ms)
 GET /@vite/client 404 in 62ms (next.js: 12ms, application-code: 50ms)
 GET / 200 in 52ms (next.js: 7ms, application-code: 46ms)
 GET /@vite/client 404 in 70ms (next.js: 10ms, application-code: 61ms)
 GET / 200 in 71ms (next.js: 9ms, application-code: 62ms)
 GET /@vite/client 404 in 64ms (next.js: 16ms, application-code: 48ms)
 GET / 200 in 83ms (next.js: 7ms, application-code: 76ms)
 GET /@vite/client 404 in 130ms (next.js: 15ms, application-code: 115ms)
 GET / 200 in 92ms (next.js: 23ms, application-code: 70ms)
 GET /@vite/client 404 in 60ms (next.js: 11ms, application-code: 49ms)
 GET / 200 in 92ms (next.js: 13ms, application-code: 79ms)
 GET /@vite/client 404 in 53ms (next.js: 9ms, application-code: 44ms)
 GET / 200 in 99ms (next.js: 21ms, application-code: 77ms)
 GET /@vite/client 404 in 58ms (next.js: 12ms, application-code: 46ms)
 GET / 200 in 129ms (next.js: 18ms, application-code: 111ms)
 GET /@vite/client 404 in 73ms (next.js: 11ms, application-code: 62ms)
 GET / 200 in 107ms (next.js: 13ms, application-code: 94ms)
 GET /@vite/client 404 in 64ms (next.js: 11ms, application-code: 53ms)
 GET / 200 in 60ms (next.js: 7ms, application-code: 53ms)
 GET /@vite/client 404 in 60ms (next.js: 13ms, application-code: 48ms)
 GET / 200 in 96ms (next.js: 13ms, application-code: 82ms)
 GET /@vite/client 404 in 80ms (next.js: 15ms, application-code: 64ms)
 GET / 200 in 83ms (next.js: 13ms, application-code: 70ms)
 GET /@vite/client 404 in 62ms (next.js: 13ms, application-code: 49ms)
 GET / 200 in 80ms (next.js: 9ms, application-code: 71ms)
 GET /@vite/client 404 in 65ms (next.js: 12ms, application-code: 53ms)
 GET / 200 in 77ms (next.js: 7ms, application-code: 71ms)
 GET /@vite/client 404 in 99ms (next.js: 14ms, application-code: 85ms)
 GET / 200 in 113ms (next.js: 16ms, application-code: 97ms)
 GET /@vite/client 404 in 59ms (next.js: 13ms, application-code: 45ms)
 GET / 200 in 76ms (next.js: 7ms, application-code: 69ms)
 GET /@vite/client 404 in 61ms (next.js: 12ms, application-code: 49ms)
 GET / 200 in 76ms (next.js: 7ms, application-code: 69ms)
 GET /@vite/client 404 in 61ms (next.js: 11ms, application-code: 50ms)
 GET / 200 in 79ms (next.js: 10ms, application-code: 70ms)
 GET /@vite/client 404 in 65ms (next.js: 16ms, application-code: 49ms)
 GET / 200 in 68ms (next.js: 5ms, application-code: 63ms)
 GET /@vite/client 404 in 67ms (next.js: 14ms, application-code: 53ms)
 GET / 200 in 80ms (next.js: 9ms, application-code: 71ms)
 GET /@vite/client 404 in 61ms (next.js: 11ms, application-code: 49ms)
 GET / 200 in 86ms (next.js: 8ms, application-code: 78ms)
 GET /@vite/client 404 in 54ms (next.js: 8ms, application-code: 46ms)
 GET / 200 in 82ms (next.js: 8ms, application-code: 74ms)
 GET /@vite/client 404 in 68ms (next.js: 10ms, application-code: 57ms)
 GET / 200 in 68ms (next.js: 8ms, application-code: 60ms)
 GET /@vite/client 404 in 63ms (next.js: 13ms, application-code: 50ms)
 GET / 200 in 98ms (next.js: 11ms, application-code: 87ms)
 GET /@vite/client 404 in 53ms (next.js: 8ms, application-code: 45ms)
 GET / 200 in 87ms (next.js: 10ms, application-code: 77ms)
 GET /@vite/client 404 in 62ms (next.js: 13ms, application-code: 49ms)
 GET / 200 in 141ms (next.js: 27ms, application-code: 114ms)
 GET /@vite/client 404 in 81ms (next.js: 13ms, application-code: 68ms)
 GET / 200 in 84ms (next.js: 9ms, application-code: 75ms)
 GET /@vite/client 404 in 63ms (next.js: 12ms, application-code: 50ms)
 GET / 200 in 77ms (next.js: 6ms, application-code: 71ms)
 GET /@vite/client 404 in 64ms (next.js: 10ms, application-code: 54ms)
 GET / 200 in 101ms (next.js: 15ms, application-code: 87ms)
 GET /@vite/client 404 in 87ms (next.js: 10ms, application-code: 77ms)
 GET / 200 in 87ms (next.js: 12ms, application-code: 75ms)
